province,province_name_english,region,year,project_count,inheritor_count,IPR
上海市,Shanghai,East,2005,0,0,
上海市,Shanghai,East,2006,0,0,
上海市,Shanghai,East,2007,131,0,0.0
上海市,Shanghai,East,2008,131,0,0.0
上海市,Shanghai,East,2009,201,211,1.0497512437810943
上海市,Shanghai,East,2010,201,340,1.691542288557214
上海市,Shanghai,East,2011,247,340,1.3765182186234817
上海市,Shanghai,East,2012,247,453,1.834008097165992
上海市,Shanghai,East,2013,330,453,1.3727272727272728
上海市,Shanghai,East,2014,330,537,1.6272727272727272
上海市,Shanghai,East,2015,330,537,1.6272727272727272
上海市,Shanghai,East,2016,330,645,1.9545454545454544
上海市,Shanghai,East,2017,330,645,1.9545454545454544
上海市,Shanghai,East,2018,330,645,1.9545454545454544
上海市,Shanghai,East,2019,330,645,1.9545454545454544
上海市,Shanghai,East,2020,367,792,2.1580381471389645
上海市,Shanghai,East,2021,367,792,2.1580381471389645
上海市,Shanghai,East,2022,367,792,2.1580381471389645
上海市,Shanghai,East,2023,367,792,2.1580381471389645
上海市,Shanghai,East,2024,393,792,2.015267175572519
云南省,Yunnan,West,2005,0,0,
云南省,Yunnan,West,2006,171,36,0.2105263157894736
云南省,Yunnan,West,2007,171,36,0.2105263157894736
云南省,Yunnan,West,2008,171,36,0.2105263157894736
云南省,Yunnan,West,2009,304,122,0.4013157894736842
云南省,Yunnan,West,2010,304,122,0.4013157894736842
云南省,Yunnan,West,2011,304,122,0.4013157894736842
云南省,Yunnan,West,2012,304,122,0.4013157894736842
云南省,Yunnan,West,2013,397,184,0.4634760705289673
云南省,Yunnan,West,2014,397,184,0.4634760705289673
云南省,Yunnan,West,2015,397,184,0.4634760705289673
云南省,Yunnan,West,2016,397,184,0.4634760705289673
云南省,Yunnan,West,2017,625,340,0.544
云南省,Yunnan,West,2018,625,340,0.544
云南省,Yunnan,West,2019,625,340,0.544
云南省,Yunnan,West,2020,625,340,0.544
云南省,Yunnan,West,2021,625,340,0.544
云南省,Yunnan,West,2022,909,577,0.6347634763476347
云南省,Yunnan,West,2023,909,924,1.0165016501650166
云南省,Yunnan,West,2024,909,924,1.0165016501650166
内蒙古自治区,Inner Mongolia,West,2005,0,0,
内蒙古自治区,Inner Mongolia,West,2006,0,0,
内蒙古自治区,Inner Mongolia,West,2007,191,208,1.0890052356020945
内蒙古自治区,Inner Mongolia,West,2008,191,208,1.0890052356020945
内蒙古自治区,Inner Mongolia,West,2009,309,323,1.0453074433656957
内蒙古自治区,Inner Mongolia,West,2010,309,323,1.0453074433656957
内蒙古自治区,Inner Mongolia,West,2011,384,399,1.0390625
内蒙古自治区,Inner Mongolia,West,2012,384,399,1.0390625
内蒙古自治区,Inner Mongolia,West,2013,454,564,1.2422907488986783
内蒙古自治区,Inner Mongolia,West,2014,454,564,1.2422907488986783
内蒙古自治区,Inner Mongolia,West,2015,560,730,1.3035714285714286
内蒙古自治区,Inner Mongolia,West,2016,560,730,1.3035714285714286
内蒙古自治区,Inner Mongolia,West,2017,560,730,1.3035714285714286
内蒙古自治区,Inner Mongolia,West,2018,744,768,1.032258064516129
内蒙古自治区,Inner Mongolia,West,2019,744,768,1.032258064516129
内蒙古自治区,Inner Mongolia,West,2020,744,768,1.032258064516129
内蒙古自治区,Inner Mongolia,West,2021,744,768,1.032258064516129
内蒙古自治区,Inner Mongolia,West,2022,830,888,1.069879518072289
内蒙古自治区,Inner Mongolia,West,2023,830,888,1.069879518072289
内蒙古自治区,Inner Mongolia,West,2024,830,888,1.069879518072289
北京市,Beijing,East,2005,0,0,
北京市,Beijing,East,2006,36,0,0.0
北京市,Beijing,East,2007,144,0,0.0
北京市,Beijing,East,2008,145,159,1.096551724137931
北京市,Beijing,East,2009,211,159,0.7535545023696683
北京市,Beijing,East,2010,212,159,0.75
北京市,Beijing,East,2011,213,205,0.9624413145539906
北京市,Beijing,East,2012,214,205,0.9579439252336448
北京市,Beijing,East,2013,215,205,0.9534883720930232
北京市,Beijing,East,2014,245,205,0.8367346938775511
北京市,Beijing,East,2015,246,280,1.1382113821138211
北京市,Beijing,East,2016,247,280,1.1336032388663968
北京市,Beijing,East,2017,248,280,1.1290322580645162
北京市,Beijing,East,2018,249,280,1.1244979919678717
北京市,Beijing,East,2019,250,280,1.12
北京市,Beijing,East,2020,251,280,1.1155378486055776
北京市,Beijing,East,2021,299,280,0.9364548494983278
北京市,Beijing,East,2022,299,280,0.9364548494983278
北京市,Beijing,East,2023,299,280,0.9364548494983278
北京市,Beijing,East,2024,299,280,0.9364548494983278
吉林省,Jilin,Northeast,2005,0,0,
吉林省,Jilin,Northeast,2006,0,0,
吉林省,Jilin,Northeast,2007,82,0,0.0
吉林省,Jilin,Northeast,2008,82,0,0.0
吉林省,Jilin,Northeast,2009,198,0,0.0
吉林省,Jilin,Northeast,2010,198,0,0.0
吉林省,Jilin,Northeast,2011,300,0,0.0
吉林省,Jilin,Northeast,2012,300,0,0.0
吉林省,Jilin,Northeast,2013,300,0,0.0
吉林省,Jilin,Northeast,2014,300,0,0.0
吉林省,Jilin,Northeast,2015,300,34,0.1133333333333333
吉林省,Jilin,Northeast,2016,350,70,0.2
吉林省,Jilin,Northeast,2017,350,70,0.2
吉林省,Jilin,Northeast,2018,350,70,0.2
吉林省,Jilin,Northeast,2019,372,70,0.1881720430107527
吉林省,Jilin,Northeast,2020,372,70,0.1881720430107527
吉林省,Jilin,Northeast,2021,442,131,0.2963800904977375
吉林省,Jilin,Northeast,2022,442,131,0.2963800904977375
吉林省,Jilin,Northeast,2023,442,215,0.4864253393665158
吉林省,Jilin,Northeast,2024,442,215,0.4864253393665158
四川省,Sichuan,West,2005,0,0,
四川省,Sichuan,West,2006,0,0,
四川省,Sichuan,West,2007,255,0,0.0
四川省,Sichuan,West,2008,255,60,0.2352941176470588
四川省,Sichuan,West,2009,442,109,0.2466063348416289
四川省,Sichuan,West,2010,442,358,0.8099547511312217
四川省,Sichuan,West,2011,593,546,0.920741989881956
四川省,Sichuan,West,2012,593,654,1.102866779089376
四川省,Sichuan,West,2013,593,654,1.102866779089376
四川省,Sichuan,West,2014,662,654,0.9879154078549848
四川省,Sichuan,West,2015,662,654,0.9879154078549848
四川省,Sichuan,West,2016,662,736,1.1117824773413898
四川省,Sichuan,West,2017,662,736,1.1117824773413898
四川省,Sichuan,West,2018,752,736,0.9787234042553192
四川省,Sichuan,West,2019,752,736,0.9787234042553192
四川省,Sichuan,West,2020,752,736,0.9787234042553192
四川省,Sichuan,West,2021,752,1046,1.3909574468085106
四川省,Sichuan,West,2022,1083,1046,0.9658356417359188
四川省,Sichuan,West,2023,1083,1046,0.9658356417359188
四川省,Sichuan,West,2024,1083,1046,0.9658356417359188
天津市,Tianjin,East,2005,0,0,
天津市,Tianjin,East,2006,0,0,
天津市,Tianjin,East,2007,32,0,0.0
天津市,Tianjin,East,2008,32,0,0.0
天津市,Tianjin,East,2009,83,0,0.0
天津市,Tianjin,East,2010,99,0,0.0
天津市,Tianjin,East,2011,99,119,1.202020202020202
天津市,Tianjin,East,2012,99,119,1.202020202020202
天津市,Tianjin,East,2013,163,119,0.7300613496932515
天津市,Tianjin,East,2014,163,119,0.7300613496932515
天津市,Tianjin,East,2015,163,221,1.3558282208588956
天津市,Tianjin,East,2016,163,221,1.3558282208588956
天津市,Tianjin,East,2017,258,221,0.8565891472868217
天津市,Tianjin,East,2018,258,221,0.8565891472868217
天津市,Tianjin,East,2019,258,282,1.0930232558139534
天津市,Tianjin,East,2020,258,282,1.0930232558139534
天津市,Tianjin,East,2021,258,282,1.0930232558139534
天津市,Tianjin,East,2022,383,282,0.7362924281984334
天津市,Tianjin,East,2023,383,282,0.7362924281984334
天津市,Tianjin,East,2024,383,282,0.7362924281984334
宁夏回族自治区,Ningxia,West,2005,0,0,
宁夏回族自治区,Ningxia,West,2006,0,0,
宁夏回族自治区,Ningxia,West,2007,51,0,0.0
宁夏回族自治区,Ningxia,West,2008,51,25,0.4901960784313725
宁夏回族自治区,Ningxia,West,2009,73,25,0.3424657534246575
宁夏回族自治区,Ningxia,West,2010,73,87,1.1917808219178083
宁夏回族自治区,Ningxia,West,2011,73,87,1.1917808219178083
宁夏回族自治区,Ningxia,West,2012,88,143,1.625
宁夏回族自治区,Ningxia,West,2013,88,143,1.625
宁夏回族自治区,Ningxia,West,2014,88,143,1.625
宁夏回族自治区,Ningxia,West,2015,88,143,1.625
宁夏回族自治区,Ningxia,West,2016,119,176,1.4789915966386555
宁夏回族自治区,Ningxia,West,2017,119,176,1.4789915966386555
宁夏回族自治区,Ningxia,West,2018,119,176,1.4789915966386555
宁夏回族自治区,Ningxia,West,2019,156,176,1.1282051282051282
宁夏回族自治区,Ningxia,West,2020,156,249,1.5961538461538465
宁夏回族自治区,Ningxia,West,2021,238,249,1.046218487394958
宁夏回族自治区,Ningxia,West,2022,238,378,1.588235294117647
宁夏回族自治区,Ningxia,West,2023,238,378,1.588235294117647
宁夏回族自治区,Ningxia,West,2024,303,378,1.2475247524752475
安徽省,Anhui,Central,2005,0,0,
安徽省,Anhui,Central,2006,153,30,0.196078431372549
安徽省,Anhui,Central,2007,153,30,0.196078431372549
安徽省,Anhui,Central,2008,297,153,0.5151515151515151
安徽省,Anhui,Central,2009,297,153,0.5151515151515151
安徽省,Anhui,Central,2010,388,153,0.3943298969072165
安徽省,Anhui,Central,2011,388,333,0.8582474226804123
安徽省,Anhui,Central,2012,388,333,0.8582474226804123
安徽省,Anhui,Central,2013,388,333,0.8582474226804123
安徽省,Anhui,Central,2014,473,409,0.864693446088795
安徽省,Anhui,Central,2015,473,576,1.2177589852008457
安徽省,Anhui,Central,2016,473,576,1.2177589852008457
安徽省,Anhui,Central,2017,631,576,0.91283676703645
安徽省,Anhui,Central,2018,631,576,0.91283676703645
安徽省,Anhui,Central,2019,631,792,1.255150554675119
安徽省,Anhui,Central,2020,631,792,1.255150554675119
安徽省,Anhui,Central,2021,631,792,1.255150554675119
安徽省,Anhui,Central,2022,778,792,1.0179948586118253
安徽省,Anhui,Central,2023,778,792,1.0179948586118253
安徽省,Anhui,Central,2024,778,792,1.0179948586118253
山东省,Shandong,East,2005,0,0,
山东省,Shandong,East,2006,198,0,0.0
山东省,Shandong,East,2007,198,73,0.3686868686868687
山东省,Shandong,East,2008,198,73,0.3686868686868687
山东省,Shandong,East,2009,401,201,0.5012468827930174
山东省,Shandong,East,2010,401,201,0.5012468827930174
山东省,Shandong,East,2011,401,264,0.6583541147132169
山东省,Shandong,East,2012,401,264,0.6583541147132169
山东省,Shandong,East,2013,527,264,0.5009487666034156
山东省,Shandong,East,2014,527,335,0.635673624288425
山东省,Shandong,East,2015,527,335,0.635673624288425
山东省,Shandong,East,2016,704,335,0.4758522727272727
山东省,Shandong,East,2017,704,335,0.4758522727272727
山东省,Shandong,East,2018,704,502,0.7130681818181818
山东省,Shandong,East,2019,704,502,0.7130681818181818
山东省,Shandong,East,2020,704,502,0.7130681818181818
山东省,Shandong,East,2021,985,502,0.5096446700507614
山东省,Shandong,East,2022,985,502,0.5096446700507614
山东省,Shandong,East,2023,985,831,0.8436548223350254
山东省,Shandong,East,2024,985,831,0.8436548223350254
山西省,Shanxi,Central,2005,0,0,
山西省,Shanxi,Central,2006,157,0,0.0
山西省,Shanxi,Central,2007,157,0,0.0
山西省,Shanxi,Central,2008,157,109,0.6942675159235668
山西省,Shanxi,Central,2009,310,109,0.3516129032258064
山西省,Shanxi,Central,2010,310,227,0.7322580645161291
山西省,Shanxi,Central,2011,405,613,1.5135802469135802
山西省,Shanxi,Central,2012,405,613,1.5135802469135802
山西省,Shanxi,Central,2013,455,613,1.3472527472527474
山西省,Shanxi,Central,2014,455,613,1.3472527472527474
山西省,Shanxi,Central,2015,455,815,1.7912087912087913
山西省,Shanxi,Central,2016,455,815,1.7912087912087913
山西省,Shanxi,Central,2017,679,815,1.200294550810015
山西省,Shanxi,Central,2018,679,815,1.200294550810015
山西省,Shanxi,Central,2019,679,1109,1.6332842415316642
山西省,Shanxi,Central,2020,679,1109,1.6332842415316642
山西省,Shanxi,Central,2021,679,1109,1.6332842415316642
山西省,Shanxi,Central,2022,679,1109,1.6332842415316642
山西省,Shanxi,Central,2023,895,1427,1.594413407821229
山西省,Shanxi,Central,2024,895,1427,1.594413407821229
广东省,Guangdong,East,2005,0,0,
广东省,Guangdong,East,2006,78,72,0.9230769230769232
广东省,Guangdong,East,2007,210,116,0.5523809523809524
广东省,Guangdong,East,2008,210,116,0.5523809523809524
广东省,Guangdong,East,2009,324,162,0.5
广东省,Guangdong,East,2010,324,162,0.5
广东省,Guangdong,East,2011,324,162,0.5
广东省,Guangdong,East,2012,426,275,0.6455399061032864
广东省,Guangdong,East,2013,501,386,0.7704590818363274
广东省,Guangdong,East,2014,501,386,0.7704590818363274
广东省,Guangdong,East,2015,670,494,0.7373134328358208
广东省,Guangdong,East,2016,670,494,0.7373134328358208
广东省,Guangdong,East,2017,670,494,0.7373134328358208
广东省,Guangdong,East,2018,760,494,0.65
广东省,Guangdong,East,2019,760,494,0.65
广东省,Guangdong,East,2020,760,494,0.65
广东省,Guangdong,East,2021,760,494,0.65
广东省,Guangdong,East,2022,844,494,0.5853080568720379
广东省,Guangdong,East,2023,844,494,0.5853080568720379
广东省,Guangdong,East,2024,844,494,0.5853080568720379
广西壮族自治区,Guangxi,West,2005,0,0,
广西壮族自治区,Guangxi,West,2006,0,0,
广西壮族自治区,Guangxi,West,2007,20,0,0.0
广西壮族自治区,Guangxi,West,2008,57,41,0.7192982456140351
广西壮族自治区,Guangxi,West,2009,57,119,2.087719298245614
广西壮族自治区,Guangxi,West,2010,118,119,1.0084745762711864
广西壮族自治区,Guangxi,West,2011,118,240,2.0338983050847457
广西壮族自治区,Guangxi,West,2012,142,240,1.6901408450704225
广西壮族自治区,Guangxi,West,2013,142,240,1.6901408450704225
广西壮族自治区,Guangxi,West,2014,193,240,1.243523316062176
广西壮族自治区,Guangxi,West,2015,193,395,2.046632124352332
广西壮族自治区,Guangxi,West,2016,331,395,1.1933534743202416
广西壮族自治区,Guangxi,West,2017,331,555,1.6767371601208458
广西壮族自治区,Guangxi,West,2018,472,555,1.1758474576271187
广西壮族自治区,Guangxi,West,2019,472,743,1.5741525423728813
广西壮族自治区,Guangxi,West,2020,472,743,1.5741525423728813
广西壮族自治区,Guangxi,West,2021,624,743,1.1907051282051282
广西壮族自治区,Guangxi,West,2022,624,936,1.5
广西壮族自治区,Guangxi,West,2023,624,936,1.5
广西壮族自治区,Guangxi,West,2024,624,936,1.5
新疆维吾尔自治区,Xinjiang,West,2005,0,0,
新疆维吾尔自治区,Xinjiang,West,2006,0,0,
新疆维吾尔自治区,Xinjiang,West,2007,146,0,0.0
新疆维吾尔自治区,Xinjiang,West,2008,146,229,1.5684931506849316
新疆维吾尔自治区,Xinjiang,West,2009,275,357,1.298181818181818
新疆维吾尔自治区,Xinjiang,West,2010,275,357,1.298181818181818
新疆维吾尔自治区,Xinjiang,West,2011,275,357,1.298181818181818
新疆维吾尔自治区,Xinjiang,West,2012,329,432,1.3130699088145896
新疆维吾尔自治区,Xinjiang,West,2013,409,432,1.0562347188264058
新疆维吾尔自治区,Xinjiang,West,2014,409,533,1.3031784841075795
新疆维吾尔自治区,Xinjiang,West,2015,409,533,1.3031784841075795
新疆维吾尔自治区,Xinjiang,West,2016,409,533,1.3031784841075795
新疆维吾尔自治区,Xinjiang,West,2017,409,533,1.3031784841075795
新疆维吾尔自治区,Xinjiang,West,2018,453,533,1.1766004415011038
新疆维吾尔自治区,Xinjiang,West,2019,453,574,1.2671081677704197
新疆维吾尔自治区,Xinjiang,West,2020,453,574,1.2671081677704197
新疆维吾尔自治区,Xinjiang,West,2021,453,574,1.2671081677704197
新疆维吾尔自治区,Xinjiang,West,2022,453,574,1.2671081677704197
新疆维吾尔自治区,Xinjiang,West,2023,453,574,1.2671081677704197
新疆维吾尔自治区,Xinjiang,West,2024,453,574,1.2671081677704197
江苏省,Jiangsu,East,2005,0,0,
江苏省,Jiangsu,East,2006,0,31,
江苏省,Jiangsu,East,2007,167,31,0.18562874251497
江苏省,Jiangsu,East,2008,167,251,1.502994011976048
江苏省,Jiangsu,East,2009,388,251,0.6469072164948454
江苏省,Jiangsu,East,2010,388,363,0.9355670103092784
江苏省,Jiangsu,East,2011,501,363,0.7245508982035929
江苏省,Jiangsu,East,2012,501,363,0.7245508982035929
江苏省,Jiangsu,East,2013,501,363,0.7245508982035929
江苏省,Jiangsu,East,2014,501,532,1.06187624750499
江苏省,Jiangsu,East,2015,745,532,0.7140939597315437
江苏省,Jiangsu,East,2016,745,532,0.7140939597315437
江苏省,Jiangsu,East,2017,745,532,0.7140939597315437
江苏省,Jiangsu,East,2018,745,532,0.7140939597315437
江苏省,Jiangsu,East,2019,745,532,0.7140939597315437
江苏省,Jiangsu,East,2020,745,820,1.1006711409395973
江苏省,Jiangsu,East,2021,745,820,1.1006711409395973
江苏省,Jiangsu,East,2022,745,820,1.1006711409395973
江苏省,Jiangsu,East,2023,1166,820,0.7032590051457976
江苏省,Jiangsu,East,2024,1166,820,0.7032590051457976
江西省,Jiangxi,Central,2005,83,84,1.0120481927710845
江西省,Jiangxi,Central,2006,83,84,1.0120481927710845
江西省,Jiangxi,Central,2007,83,84,1.0120481927710845
江西省,Jiangxi,Central,2008,164,252,1.5365853658536586
江西省,Jiangxi,Central,2009,164,252,1.5365853658536586
江西省,Jiangxi,Central,2010,371,421,1.1347708894878703
江西省,Jiangxi,Central,2011,371,421,1.1347708894878703
江西省,Jiangxi,Central,2012,371,421,1.1347708894878703
江西省,Jiangxi,Central,2013,478,568,1.188284518828452
江西省,Jiangxi,Central,2014,478,568,1.188284518828452
江西省,Jiangxi,Central,2015,478,568,1.188284518828452
